,bench_name,digitizer_id,files_ids,hole_id,hole_name,pattern_name,rig_id,sensor_id,start_time_max,start_time_min
183,885,6172,320,9506,9506,NS92_82,33,6172,1554289267,1554288389
184,885,S1027,16,9415,9415,NS92_82,33,DIFF017,1554716196,1554239908
185,885,S1027,"9,24",9606,9606,NS92_82,33,DIFF017,1554308016,1554306838
186,885,6172,385,9311,9311,NS92_82,33,6172,1554269916,1554268521
187,885,S1027,"10,24",9513,9513,NS92_82,33,DIFF017,1554303938,1554302744
188,886,S1027,"106,168",9817,9817,NN93_12,33,PR005,1554527292,1554526250
189,886,S1027,"136,151",9121,9121,NN93_12,33,PR005,1554585400,1554583900
190,885,S1027,24,9605,9605,NS92_82,33,DIFF017,1554306627,1554305594
191,885,S1027,26,9212,9212,NS92_82,33,DIFF017,1554262199,1554260839
192,886,S1027,124,10612,10612,NN93_12,33,PR005,1554551610,1554549662
193,885,6172,433,9414,9414,NS92_82,33,6172,1554241767,1554240856
194,886,S1027,"121,173",9117,9117,NN93_12,33,PR005,1554736431,1554734763
195,885,S1027,23,9516,9516,NS92_82,33,DIFF017,1554245078,1554243814
196,885,6172,"334,335",9208,9208,NS92_82,33,6172,1554254004,1554253024
197,885,S1027,4,9608,9608,NS92_82,33,DIFF017,1554313783,1554312584
198,885,S1027,"17,37",9408,9408,NS92_82,33,DIFF017,1554278936,1554277859
199,886,S1027,"104,118",10711,10711,NN93_12,33,PR005,1554545888,1554544628
200,885,6172,48,9610,9610,NS92_82,33,6172,1554316762,1554315484
201,885,S1027,107,9011,9011,NS92_82,33,PR005,1554572822,1554571946
202,886,S1027,125,9316T,9316T,NN93_12,33,PR005,1554741764,1554741091
203,886,S1027,"133,153",9120,9120,NN93_12,33,PR005,1554596592,1554595055
204,886,S1027,131,10012,10012,NN93_12,33,PR005,1554704802,1554704089
